5-gram, count
enter king claudius queen gertrude, 6
a room in the castle, 5
another room in the castle, 4
scene i a room in, 3
it not like the king, 2
what think you on t, 2
scene iii a room in, 2
a room in polonius house, 2
that i will speak to, 2
go on i ll follow, 2
on i ll follow thee, 2
never to speak of this, 2
to speak of this that, 2
speak of this that you, 2
of this that you have, 2
at closes in the consequence, 2
king claudius queen gertrude rosencrantz, 2
my lord i have news, 2
lord i have news to, 2
i have news to tell, 2
have news to tell you, 2
i a room in the, 2
king claudius queen gertrude polonius, 2
claudius queen gertrude polonius ophelia, 2
queen gertrude polonius ophelia rosencrantz, 2
scene ii a hall in, 2
ii a hall in the, 2
a hall in the castle, 2
re enter rosencrantz and guildenstern, 2
i humbly thank you sir, 2
he is dead and gone, 2
and will he not come, 2
will he not come again, 2
o a pit of clay, 2
a pit of clay for, 2
pit of clay for to, 2
of clay for to be, 2
clay for to be made, 2
for such a guest is, 2
such a guest is meet, 2
but it is no matter, 2
the tragedy of hamlet prince, 1
tragedy of hamlet prince of, 1
of hamlet prince of denmark, 1
shakespeare homepage hamlet entire play, 1
scene i elsinore a platform, 1
i elsinore a platform before, 1
elsinore a platform before the, 1
a platform before the castle, 1
francisco at his post enter, 1
at his post enter to, 1
his post enter to him, 1
post enter to him bernardo, 1
nay answer me stand and, 1
answer me stand and unfold, 1
me stand and unfold yourself, 1
you come most carefully upon, 1
come most carefully upon your, 1
most carefully upon your hour, 1
tis now struck twelve get, 1
now struck twelve get thee, 1
struck twelve get thee to, 1
twelve get thee to bed, 1
get thee to bed francisco, 1
for this relief much thanks, 1
this relief much thanks tis, 1
relief much thanks tis bitter, 1
much thanks tis bitter cold, 1
and i am sick at, 1
i am sick at heart, 1
have you had quiet guard, 1
if you do meet horatio, 1
you do meet horatio and, 1
do meet horatio and marcellus, 1
the rivals of my watch, 1
rivals of my watch bid, 1
of my watch bid them, 1
my watch bid them make, 1
watch bid them make haste, 1
i think i hear them, 1
think i hear them stand, 1
i hear them stand ho, 1
hear them stand ho who, 1
them stand ho who s, 1
stand ho who s there, 1
and liegemen to the dane, 1
welcome horatio welcome good marcellus, 1
what has this thing appear, 1
has this thing appear d, 1
this thing appear d again, 1
thing appear d again to, 1
appear d again to night, 1
horatio says tis but our, 1
says tis but our fantasy, 1
and will not let belief, 1
will not let belief take, 1
not let belief take hold, 1
let belief take hold of, 1
belief take hold of him, 1
touching this dreaded sight twice, 1
this dreaded sight twice seen, 1
dreaded sight twice seen of, 1
sight twice seen of us, 1
therefore i have entreated him, 1
i have entreated him along, 1
with us to watch the, 1
us to watch the minutes, 1
to watch the minutes of, 1
watch the minutes of this, 1
the minutes of this night, 1
that if again this apparition, 1
if again this apparition come, 1
he may approve our eyes, 1
may approve our eyes and, 1
approve our eyes and speak, 1
our eyes and speak to, 1
eyes and speak to it, 1
tush tush twill not appear, 1
and let us once again, 1
let us once again assail, 1
us once again assail your, 1
once again assail your ears, 1
that are so fortified against, 1
are so fortified against our, 1
so fortified against our story, 1
what we have two nights, 1
we have two nights seen, 1
and let us hear bernardo, 1
let us hear bernardo speak, 1
us hear bernardo speak of, 1
hear bernardo speak of this, 1
when yond same star that, 1
yond same star that s, 1
same star that s westward, 1
star that s westward from, 1
that s westward from the, 1
s westward from the pole, 1
had made his course to, 1
made his course to illume, 1
his course to illume that, 1
course to illume that part, 1
to illume that part of, 1
illume that part of heaven, 1
where now it burns marcellus, 1
now it burns marcellus and, 1
it burns marcellus and myself, 1
the bell then beating one, 1
peace break thee off look, 1
break thee off look where, 1
thee off look where it, 1
off look where it comes, 1
look where it comes again, 1
in the same figure like, 1
the same figure like the, 1
same figure like the king, 1
figure like the king that, 1
like the king that s, 1
the king that s dead, 1
thou art a scholar speak, 1
art a scholar speak to, 1
a scholar speak to it, 1
scholar speak to it horatio, 1
looks it not like the, 1
not like the king mark, 1
like the king mark it, 1
the king mark it horatio, 1
most like it harrows me, 1
like it harrows me with, 1
it harrows me with fear, 1
harrows me with fear and, 1
me with fear and wonder, 1
it would be spoke to, 1
what art thou that usurp, 1
art thou that usurp st, 1
thou that usurp st this, 1
that usurp st this time, 1
usurp st this time of, 1
st this time of night, 1
together with that fair and, 1
with that fair and warlike, 1
that fair and warlike form, 1
in which the majesty of, 1
which the majesty of buried, 1
the majesty of buried denmark, 1
did sometimes march by heaven, 1
sometimes march by heaven i, 1
march by heaven i charge, 1
by heaven i charge thee, 1
heaven i charge thee speak, 1
stay speak speak i charge, 1
speak speak i charge thee, 1
speak i charge thee speak, 1
tis gone and will not, 1
gone and will not answer, 1
how now horatio you tremble, 1
now horatio you tremble and, 1
horatio you tremble and look, 1
you tremble and look pale, 1
is not this something more, 1
not this something more than, 1
this something more than fantasy, 1
before my god i might, 1
my god i might not, 1
god i might not this, 1
i might not this believe, 1
without the sensible and true, 1
the sensible and true avouch, 1
is it not like the, 1
as thou art to thyself, 1
such was the very armour, 1
was the very armour he, 1
the very armour he had, 1
very armour he had on, 1
when he the ambitious norway, 1
he the ambitious norway combated, 1
so frown d he once, 1
frown d he once when, 1
d he once when in, 1
he once when in an, 1
once when in an angry, 1
when in an angry parle, 1
he smote the sledded polacks, 1
smote the sledded polacks on, 1
the sledded polacks on the, 1
sledded polacks on the ice, 1
thus twice before and jump, 1
twice before and jump at, 1
before and jump at this, 1
and jump at this dead, 1
jump at this dead hour, 1
with martial stalk hath he, 1
martial stalk hath he gone, 1
stalk hath he gone by, 1
hath he gone by our, 1
he gone by our watch, 1
in what particular thought to, 1
what particular thought to work, 1
particular thought to work i, 1
thought to work i know, 1
to work i know not, 1
but in the gross and, 1
in the gross and scope, 1
the gross and scope of, 1
gross and scope of my, 1
and scope of my opinion, 1
this bodes some strange eruption, 1
bodes some strange eruption to, 1
some strange eruption to our, 1
strange eruption to our state, 1
good now sit down and, 1
now sit down and tell, 1
sit down and tell me, 1
down and tell me he, 1
and tell me he that, 1
tell me he that knows, 1
why this same strict and, 1
this same strict and most, 1
same strict and most observant, 1
strict and most observant watch, 1
so nightly toils the subject, 1
nightly toils the subject of, 1
toils the subject of the, 1
the subject of the land, 1
and why such daily cast, 1
why such daily cast of, 1
such daily cast of brazen, 1
daily cast of brazen cannon, 1
and foreign mart for implements, 1
foreign mart for implements of, 1
mart for implements of war, 1
why such impress of shipwrights, 1
such impress of shipwrights whose, 1
impress of shipwrights whose sore, 1
of shipwrights whose sore task, 1
does not divide the sunday, 1
not divide the sunday from, 1
divide the sunday from the, 1
the sunday from the week, 1
what might be toward that, 1
might be toward that this, 1
be toward that this sweaty, 1
toward that this sweaty haste, 1
doth make the night joint, 1
make the night joint labourer, 1
the night joint labourer with, 1
night joint labourer with the, 1
joint labourer with the day, 1
who is t that can, 1
is t that can inform, 1
t that can inform me, 1
at least the whisper goes, 1
least the whisper goes so, 1
the whisper goes so our, 1
whisper goes so our last, 1
goes so our last king, 1
whose image even but now, 1
image even but now appear, 1
even but now appear d, 1
but now appear d to, 1
now appear d to us, 1
was as you know by, 1
as you know by fortinbras, 1
you know by fortinbras of, 1
know by fortinbras of norway, 1
thereto prick d on by, 1
prick d on by a, 1
d on by a most, 1
on by a most emulate, 1
by a most emulate pride, 1
dared to the combat in, 1
to the combat in which, 1
the combat in which our, 1
combat in which our valiant, 1
in which our valiant hamlet, 1
for so this side of, 1
so this side of our, 1
this side of our known, 1
side of our known world, 1
of our known world esteem, 1
our known world esteem d, 1
known world esteem d him, 1
did slay this fortinbras who, 1
slay this fortinbras who by, 1
this fortinbras who by a, 1
fortinbras who by a seal, 1
who by a seal d, 1
by a seal d compact, 1
well ratified by law and, 1
ratified by law and heraldry, 1
did forfeit with his life, 1
forfeit with his life all, 1
with his life all those, 1
his life all those his, 1
life all those his lands, 1
which he stood seized of, 1
he stood seized of to, 1
stood seized of to the, 1
seized of to the conqueror, 1
against the which a moiety, 1
the which a moiety competent, 1
was gaged by our king, 1
gaged by our king which, 1
by our king which had, 1
our king which had return, 1
king which had return d, 1
to the inheritance of fortinbras, 1
had he been vanquisher as, 1
he been vanquisher as by, 1
been vanquisher as by the, 1
vanquisher as by the same, 1
as by the same covenant, 1
and carriage of the article, 1
carriage of the article design, 1
of the article design d, 1
his fell to hamlet now, 1
fell to hamlet now sir, 1
to hamlet now sir young, 1
hamlet now sir young fortinbras, 1
of unimproved mettle hot and, 1
unimproved mettle hot and full, 1
hath in the skirts of, 1
in the skirts of norway, 1
the skirts of norway here, 1
skirts of norway here and, 1
of norway here and there, 1
shark d up a list, 1
d up a list of, 1
up a list of lawless, 1
a list of lawless resolutes, 1
for food and diet to, 1
food and diet to some, 1
and diet to some enterprise, 1
that hath a stomach in, 1
hath a stomach in t, 1
a stomach in t which, 1
stomach in t which is, 1
in t which is no, 1
t which is no other, 1
as it doth well appear, 1
it doth well appear unto, 1
doth well appear unto our, 1
well appear unto our state, 1
but to recover of us, 1
to recover of us by, 1
recover of us by strong, 1
of us by strong hand, 1
and terms compulsatory those foresaid, 1
terms compulsatory those foresaid lands, 1
so by his father lost, 1
by his father lost and, 1
his father lost and this, 1
father lost and this i, 1
lost and this i take, 1
and this i take it, 1
is the main motive of, 1
the main motive of our, 1
main motive of our preparations, 1
the source of this our, 1
source of this our watch, 1
of this our watch and, 1
this our watch and the, 1
our watch and the chief, 1
watch and the chief head, 1
of this post haste and, 1
this post haste and romage, 1
post haste and romage in, 1
haste and romage in the, 1
and romage in the land, 1
i think it be no, 1
think it be no other, 1
it be no other but, 1
be no other but e, 1
no other but e en, 1
other but e en so, 1
well may it sort that, 1
may it sort that this, 1
it sort that this portentous, 1
sort that this portentous figure, 1
comes armed through our watch, 1
armed through our watch so, 1
through our watch so like, 1
our watch so like the, 1
watch so like the king, 1
that was and is the, 1
was and is the question, 1
and is the question of, 1
is the question of these, 1
the question of these wars, 1
a mote it is to, 1
mote it is to trouble, 1
it is to trouble the, 1
is to trouble the mind, 1
to trouble the mind s, 1
trouble the mind s eye, 1
in the most high and, 1
the most high and palmy, 1
most high and palmy state, 1
high and palmy state of, 1
and palmy state of rome, 1
a little ere the mightiest, 1
little ere the mightiest julius, 1
ere the mightiest julius fell, 1
the graves stood tenantless and, 1
graves stood tenantless and the, 1
stood tenantless and the sheeted, 1
tenantless and the sheeted dead, 1
did squeak and gibber in, 1
squeak and gibber in the, 1
and gibber in the roman, 1
gibber in the roman streets, 1
as stars with trains of, 1
stars with trains of fire, 1
with trains of fire and, 1
trains of fire and dews, 1
of fire and dews of, 1
fire and dews of blood, 1
disasters in the sun and, 1
in the sun and the, 1
the sun and the moist, 1
sun and the moist star, 1
upon whose influence neptune s, 1
whose influence neptune s empire, 1
influence neptune s empire stands, 1
was sick almost to doomsday, 1
sick almost to doomsday with, 1
almost to doomsday with eclipse, 1
and even the like precurse, 1
even the like precurse of, 1
the like precurse of fierce, 1
like precurse of fierce events, 1
as harbingers preceding still the, 1
harbingers preceding still the fates, 1
and prologue to the omen, 1
prologue to the omen coming, 1
to the omen coming on, 1
have heaven and earth together, 1
heaven and earth together demonstrated, 1
unto our climatures and countrymen, 1
but soft behold lo where, 1
soft behold lo where it, 1
behold lo where it comes, 1
lo where it comes again, 1
i ll cross it though, 1
ll cross it though it, 1
cross it though it blast, 1
it though it blast me, 1
though it blast me stay, 1
it blast me stay illusion, 1
if thou hast any sound, 1
thou hast any sound or, 1
hast any sound or use, 1
any sound or use of, 1
sound or use of voice, 1
if there be any good, 1
there be any good thing, 1
be any good thing to, 1
any good thing to be, 1
good thing to be done, 1
that may to thee do, 1
may to thee do ease, 1
to thee do ease and, 1
thee do ease and grace, 1
do ease and grace to, 1
ease and grace to me, 1
if thou art privy to, 1
thou art privy to thy, 1
art privy to thy country, 1
privy to thy country s, 1
to thy country s fate, 1
which happily foreknowing may avoid, 1
happily foreknowing may avoid o, 1
foreknowing may avoid o speak, 1
or if thou hast uphoarded, 1
if thou hast uphoarded in, 1
thou hast uphoarded in thy, 1
hast uphoarded in thy life, 1
extorted treasure in the womb, 1
treasure in the womb of, 1
in the womb of earth, 1
for which they say you, 1
which they say you spirits, 1
they say you spirits oft, 1
say you spirits oft walk, 1
you spirits oft walk in, 1
spirits oft walk in death, 1
speak of it stay and, 1
of it stay and speak, 1
it stay and speak stop, 1
stay and speak stop it, 1
and speak stop it marcellus, 1
shall i strike at it, 1
i strike at it with, 1
strike at it with my, 1
at it with my partisan, 1
do if it will not, 1
if it will not stand, 1
we do it wrong being, 1
do it wrong being so, 1
it wrong being so majestical, 1
to offer it the show, 1
offer it the show of, 1
it the show of violence, 1
for it is as the, 1
it is as the air, 1
is as the air invulnerable, 1
and our vain blows malicious, 1
our vain blows malicious mockery, 1
it was about to speak, 1
was about to speak when, 1
about to speak when the, 1
to speak when the cock, 1
speak when the cock crew, 1
and then it started like, 1
then it started like a, 1
it started like a guilty, 1
started like a guilty thing, 1
upon a fearful summons i, 1
a fearful summons i have, 1
fearful summons i have heard, 1
the cock that is the, 1
cock that is the trumpet, 1
that is the trumpet to, 1
is the trumpet to the, 1
the trumpet to the morn, 1
doth with his lofty and, 1
with his lofty and shrill, 1
his lofty and shrill sounding, 1
lofty and shrill sounding throat, 1
awake the god of day, 1
the god of day and, 1
god of day and at, 1
of day and at his, 1
day and at his warning, 1
whether in sea or fire, 1
in sea or fire in, 1
sea or fire in earth, 1
or fire in earth or, 1
fire in earth or air, 1
the extravagant and erring spirit, 1
extravagant and erring spirit hies, 1
to his confine and of, 1
his confine and of the, 1
confine and of the truth, 1
and of the truth herein, 1
this present object made probation, 1
it faded on the crowing, 1
faded on the crowing of, 1
on the crowing of the, 1
the crowing of the cock, 1
some say that ever gainst, 1
say that ever gainst that, 1
that ever gainst that season, 1
ever gainst that season comes, 1
wherein our saviour s birth, 1
our saviour s birth is, 1
saviour s birth is celebrated, 1
the bird of dawning singeth, 1
bird of dawning singeth all, 1
of dawning singeth all night, 1
dawning singeth all night long, 1
and then they say no, 1
then they say no spirit, 1
they say no spirit dares, 1
say no spirit dares stir, 1
no spirit dares stir abroad, 1
the nights are wholesome then, 1
nights are wholesome then no, 1
are wholesome then no planets, 1
wholesome then no planets strike, 1
no fairy takes nor witch, 1
fairy takes nor witch hath, 1
takes nor witch hath power, 1
nor witch hath power to, 1
witch hath power to charm, 1
so hallow d and so, 1
hallow d and so gracious, 1
d and so gracious is, 1
and so gracious is the, 1
so gracious is the time, 1
so have i heard and, 1
have i heard and do, 1
i heard and do in, 1
heard and do in part, 1
and do in part believe, 1
do in part believe it, 1
but look the morn in, 1
look the morn in russet, 1
the morn in russet mantle, 1
morn in russet mantle clad, 1
walks o er the dew, 1
o er the dew of, 1
er the dew of yon, 1
the dew of yon high, 1
dew of yon high eastward, 1
of yon high eastward hill, 1
break we our watch up, 1
we our watch up and, 1
our watch up and by, 1
watch up and by my, 1
up and by my advice, 1
let us impart what we, 1
us impart what we have, 1
impart what we have seen, 1
what we have seen to, 1
we have seen to night, 1
unto young hamlet for upon, 1
young hamlet for upon my, 1
hamlet for upon my life, 1
this spirit dumb to us, 1
spirit dumb to us will, 1
dumb to us will speak, 1
to us will speak to, 1
us will speak to him, 1
do you consent we shall, 1
you consent we shall acquaint, 1
consent we shall acquaint him, 1
we shall acquaint him with, 1
shall acquaint him with it, 1
as needful in our loves, 1
needful in our loves fitting, 1
in our loves fitting our, 1
our loves fitting our duty, 1
let s do t i, 1
s do t i pray, 1
do t i pray and, 1
t i pray and i, 1
i pray and i this, 1
pray and i this morning, 1
and i this morning know, 1
where we shall find him, 1
we shall find him most, 1
shall find him most conveniently, 1
scene ii a room of, 1
ii a room of state, 1
a room of state in, 1
room of state in the, 1
of state in the castle, 1
king claudius queen gertrude hamlet, 1
claudius queen gertrude hamlet polonius, 1
queen gertrude hamlet polonius laertes, 1
gertrude hamlet polonius laertes voltimand, 1
hamlet polonius laertes voltimand cornelius, 1
polonius laertes voltimand cornelius lords, 1
laertes voltimand cornelius lords and, 1
voltimand cornelius lords and attendants, 1
though yet of hamlet our, 1
yet of hamlet our dear, 1
of hamlet our dear brother, 1
hamlet our dear brother s, 1
our dear brother s death, 1
the memory be green and, 1
memory be green and that, 1
be green and that it, 1
green and that it us, 1
and that it us befitted, 1
to bear our hearts in, 1
bear our hearts in grief, 1
our hearts in grief and, 1
hearts in grief and our, 1
in grief and our whole, 1
grief and our whole kingdom, 1
to be contracted in one, 1
be contracted in one brow, 1
contracted in one brow of, 1
in one brow of woe, 1
yet so far hath discretion, 1
so far hath discretion fought, 1
far hath discretion fought with, 1
hath discretion fought with nature, 1
that we with wisest sorrow, 1
we with wisest sorrow think, 1
with wisest sorrow think on, 1
wisest sorrow think on him, 1
together with remembrance of ourselves, 1
therefore our sometime sister now, 1
our sometime sister now our, 1
sometime sister now our queen, 1
the imperial jointress to this, 1
imperial jointress to this warlike, 1
jointress to this warlike state, 1
have we as twere with, 1
we as twere with a, 1
as twere with a defeated, 1
twere with a defeated joy, 1
with an auspicious and a, 1
an auspicious and a dropping, 1
auspicious and a dropping eye, 1
with mirth in funeral and, 1
mirth in funeral and with, 1
in funeral and with dirge, 1
funeral and with dirge in, 1
and with dirge in marriage, 1
in equal scale weighing delight, 1
equal scale weighing delight and, 1
scale weighing delight and dole, 1
taken to wife nor have, 1
to wife nor have we, 1
wife nor have we herein, 1
nor have we herein barr, 1
have we herein barr d, 1
your better wisdoms which have, 1
better wisdoms which have freely, 1
wisdoms which have freely gone, 1
with this affair along for, 1
this affair along for all, 1
affair along for all our, 1
along for all our thanks, 1
now follows that you know, 1
follows that you know young, 1
that you know young fortinbras, 1
holding a weak supposal of, 1
a weak supposal of our, 1
weak supposal of our worth, 1
or thinking by our late, 1
thinking by our late dear, 1
by our late dear brother, 1
our late dear brother s, 1
late dear brother s death, 1
our state to be disjoint, 1
state to be disjoint and, 1
to be disjoint and out, 1
be disjoint and out of, 1
disjoint and out of frame, 1
colleagued with the dream of, 1
with the dream of his, 1
the dream of his advantage, 1
he hath not fail d, 1
hath not fail d to, 1
not fail d to pester, 1
fail d to pester us, 1
d to pester us with, 1
to pester us with message, 1
importing the surrender of those, 1
the surrender of those lands, 1
lost by his father with, 1
by his father with all, 1
his father with all bonds, 1
father with all bonds of, 1
with all bonds of law, 1
to our most valiant brother, 1
our most valiant brother so, 1
most valiant brother so much, 1
valiant brother so much for, 1
brother so much for him, 1
now for ourself and for, 1
for ourself and for this, 1
ourself and for this time, 1
and for this time of, 1
for this time of meeting, 1
thus much the business is, 1
much the business is we, 1
the business is we have, 1
business is we have here, 1
is we have here writ, 1
to norway uncle of young, 1
norway uncle of young fortinbras, 1
who impotent and bed rid, 1
impotent and bed rid scarcely, 1
and bed rid scarcely hears, 1
of this his nephew s, 1
this his nephew s purpose, 1
his nephew s purpose to, 1
nephew s purpose to suppress, 1
his further gait herein in, 1
further gait herein in that, 1
gait herein in that the, 1
herein in that the levies, 1
the lists and full proportions, 1
lists and full proportions are, 1
and full proportions are all, 1
full proportions are all made, 1
out of his subject and, 1
of his subject and we, 1
his subject and we here, 1
subject and we here dispatch, 1
you good cornelius and you, 1
good cornelius and you voltimand, 1
for bearers of this greeting, 1
bearers of this greeting to, 1
of this greeting to old, 1
this greeting to old norway, 1
giving to you no further, 1
to you no further personal, 1
you no further personal power, 1
to business with the king, 1
business with the king more, 1
with the king more than, 1
the king more than the, 1
king more than the scope, 1
of these delated articles allow, 1
farewell and let your haste, 1
and let your haste commend, 1
let your haste commend your, 1
your haste commend your duty, 1
in that and all things, 1
that and all things will, 1
and all things will we, 1
all things will we show, 1
things will we show our, 1
will we show our duty, 1
we doubt it nothing heartily, 1
doubt it nothing heartily farewell, 1
and now laertes what s, 1
now laertes what s the, 1
laertes what s the news, 1
what s the news with, 1
s the news with you, 1
you told us of some, 1
told us of some suit, 1
us of some suit what, 1
of some suit what is, 1
some suit what is t, 1
suit what is t laertes, 1
you cannot speak of reason, 1
cannot speak of reason to, 1
speak of reason to the, 1
of reason to the dane, 1
and loose your voice what, 1
loose your voice what wouldst, 1
your voice what wouldst thou, 1
voice what wouldst thou beg, 1
what wouldst thou beg laertes, 1
that shall not be my, 1
shall not be my offer, 1
not be my offer not, 1
be my offer not thy, 1
my offer not thy asking, 1
the head is not more, 1
head is not more native, 1
is not more native to, 1
not more native to the, 1
more native to the heart, 1
the hand more instrumental to, 1
hand more instrumental to the, 1
more instrumental to the mouth, 1
than is the throne of, 1
is the throne of denmark, 1
the throne of denmark to, 1
throne of denmark to thy, 1
of denmark to thy father, 1
what wouldst thou have laertes, 1
your leave and favour to, 1
leave and favour to return, 1
and favour to return to, 1
favour to return to france, 1
from whence though willingly i, 1
whence though willingly i came, 1
though willingly i came to, 1
willingly i came to denmark, 1
to show my duty in, 1
show my duty in your, 1
my duty in your coronation, 1
yet now i must confess, 1
now i must confess that, 1
i must confess that duty, 1
must confess that duty done, 1
my thoughts and wishes bend, 1
thoughts and wishes bend again, 1
and wishes bend again toward, 1
wishes bend again toward france, 1
and bow them to your, 1
bow them to your gracious, 1
them to your gracious leave, 1
to your gracious leave and, 1
