4-gram, count
room in the castle, 9
king claudius queen gertrude, 8
exeunt rosencrantz and guildenstern, 7
enter king claudius queen, 6
my lord i have, 6
a room in the, 5
exeunt all but hamlet, 4
i do not know, 4
enter rosencrantz and guildenstern, 4
another room in the, 4
i do beseech you, 3
scene i a room, 3
i a room in, 3
very well my lord, 3
what s the matter, 3
his father s death, 3
fare you well my, 3
my lord i will, 3
i humbly thank you, 3
nay good my lord, 3
enter horatio and marcellus, 2
give you good night, 2
where it comes again, 2
it not like the, 2
not like the king, 2
i charge thee speak, 2
what think you on, 2
think you on t, 2
i think it be, 2
the trumpet to the, 2
have seen to night, 2
scene ii a room, 2
dear brother s death, 2
exeunt voltimand and cornelius, 2
what s the news, 2
he hath my lord, 2
not so my lord, 2
glad to see you, 2
make you from wittenberg, 2
i know you are, 2
my lord i did, 2
my honour d lord, 2
it was as i, 2
i ll speak to, 2
scene iii a room, 2
iii a room in, 2
a room in polonius, 2
room in polonius house, 2
if it be so, 2
i must tell you, 2
from this time forth, 2
ay marry is t, 2
that i will speak, 2
i will speak to, 2
go on i ll, 2
on i ll follow, 2
i ll follow thee, 2
you shall not go, 2
by heaven i ll, 2
if thou didst ever, 2
my lord my lord, 2
not i my lord, 2
nor i my lord, 2
my lord we will, 2
never to speak of, 2
to speak of this, 2
speak of this that, 2
of this that you, 2
this that you have, 2
swear by my sword, 2
i will my lord, 2
and in part him, 2
with you in this, 2
at closes in the, 2
closes in the consequence, 2
god be wi you, 2
no my good lord, 2
claudius queen gertrude rosencrantz, 2
thank you for your, 2
the cause of this, 2
i have a daughter, 2
what might you think, 2
such a time i, 2
you read my lord, 2
what is the matter, 2
is but a shadow, 2
there has been much, 2
lord i have news, 2
i have news to, 2
have news to tell, 2
news to tell you, 2
too light for the, 2
god be wi ye, 2
the son of a, 2
that i have seen, 2
claudius queen gertrude polonius, 2
queen gertrude polonius ophelia, 2
gertrude polonius ophelia rosencrantz, 2
i hear him coming, 2
king claudius and polonius, 2
to die to sleep, 2
get thee to a, 2
enter king claudius and, 2
be round with him, 2
scene ii a hall, 2
ii a hall in, 2
a hall in the, 2
hall in the castle, 2
my father s death, 2
rosencrantz guildenstern and others, 2
do you think i, 2
the dead body is, 2
you what it means, 2
re enter rosencrantz and, 2
how can that be, 2
the top of my, 2
god bless you sir, 2
his mother s closet, 2
i ll do t, 2
what wilt thou do, 2
nay i know not, 2
as kill a king, 2
i will do t, 2
humbly thank you sir, 2
let her come in, 2
he is dead and, 2
is dead and gone, 2
laertes shall be king, 2
let him go gertrude, 2
and will he not, 2
will he not come, 2
he not come again, 2
they have letters for, 2
to be buried in, 2
enter hamlet and horatio, 2
o a pit of, 2
a pit of clay, 2
pit of clay for, 2
of clay for to, 2
clay for to be, 2
for to be made, 2
for such a guest, 2
such a guest is, 2
a guest is meet, 2
no more be done, 2
leaps into the grave, 2
but it is no, 2
it is no matter, 2
it is very sultry, 2
you are not ignorant, 2
the king sir hath, 2
i do not think, 2
if it be not, 2
the drink the drink, 2
the tragedy of hamlet, 1
tragedy of hamlet prince, 1
of hamlet prince of, 1
hamlet prince of denmark, 1
shakespeare homepage hamlet entire, 1
homepage hamlet entire play, 1
scene i elsinore a, 1
i elsinore a platform, 1
elsinore a platform before, 1
a platform before the, 1
platform before the castle, 1
francisco at his post, 1
at his post enter, 1
his post enter to, 1
post enter to him, 1
enter to him bernardo, 1
nay answer me stand, 1
answer me stand and, 1
me stand and unfold, 1
stand and unfold yourself, 1
long live the king, 1
you come most carefully, 1
come most carefully upon, 1
most carefully upon your, 1
