3-gram, count
a brother s, 2
on my head, 2
set it down, 2
now to my, 2
my lord my, 2
lord my lord, 2
hillo ho ho, 2
is t my, 2
not i my, 2
nor i my, 2
how say you, 2
i the right, 2
i hold it, 2
hold it fit, 2
business and desire, 2
desire to know, 2
t as you, 2
as you may, 2
as you are, 2
t my lord, 2
lord we will, 2
what you have, 2
you have seen, 2
never to speak, 2
of this that, 2
this that you, 2
swear by my, 2
by my sword, 2
you have heard, 2
day and night, 2
me to you, 2
i will my, 2
that they do, 2
thus i know, 2
and in part, 2
in part him, 2
do you mark, 2
you do this, 2
d i the, 2
you would sound, 2
you in this, 2
about to say, 2
by the mass, 2
at closes in, 2
closes in the, 2
in the consequence, 2
i know the, 2
and as you, 2
as you say, 2
there was a, 2
be wi you, 2
shall my lord, 2
o my lord, 2
i have been, 2
the name of, 2
he had been, 2
me by the, 2
and with his, 2
thus o er, 2
up and down, 2
did seem to, 2
go with me, 2
me i will, 2
i am sorry, 2
no my good, 2
queen gertrude rosencrantz, 2
have you heard, 2
that thus hath, 2
him on to, 2
he hath much, 2
talk d of, 2
i hold my, 2
and i do, 2
to the ambassadors, 2
shall be the, 2
my dear gertrude, 2
and in fine, 2
to give the, 2
please you to, 2
thank you for, 2
nothing but to, 2
the soul of, 2
use no art, 2
he is mad, 2
tis true tis, 2
i will use, 2
the cause of, 2
cause of this, 2
have a daughter, 2
a vile phrase, 2
you shall hear, 2
i have not, 2
of a man, 2
might you think, 2
if i had, 2
thence to a, 2
such a time, 2
a time i, 2
that i know, 2
not from his, 2
the poor wretch, 2
exeunt king claudius, 2
queen gertrude and, 2
you are a, 2
i would you, 2
is to be, 2
for if the, 2
you read my, 2
read my lord, 2
the matter my, 2
set down for, 2
as i am, 2
could not so, 2
the means of, 2
except my life, 2
my life except, 2
you go to, 2
that we are, 2
we are not, 2
or in the, 2
my lord but, 2
but that the, 2
a king of, 2
is but a, 2
but a shadow, 2
that it is, 2
i will not, 2
you my lord, 2
you were sent, 2
that you must, 2
were sent for, 2
what say you, 2
nay then i, 2
is a man, 2
yet to me, 2
man delights not, 2
my lord if, 2
them on the, 2
on the way, 2
the king shall, 2
were wont to, 2
what are they, 2
to make them, 2
there has been, 2
has been much, 2
on both sides, 2
welcome to elsinore, 2
my dear lord, 2
i am but, 2
the wind is, 2
be with you, 2
there is not, 2
an old man, 2
i have news, 2
have news to, 2
news to tell, 2
come hither my, 2
in the world, 2
too light for, 2
light for the, 2
these are the, 2
what a treasure, 2
by r lady, 2
ll have a, 2
have a speech, 2
but it was, 2
with as much, 2
the rugged pyrrhus, 2
and like a, 2
the heavens the, 2
as to the, 2
this is too, 2
the mobled queen, 2
in the alarm, 2
but if the, 2
not at all, 2
you see the, 2
a play to, 2
with all the, 2
dost thou hear, 2
thou hear me, 2
a speech of, 2
could you not, 2
be wi ye, 2
of my cause, 2
lie i the, 2
it cannot be, 2
but i am, 2
the son of, 2
son of a, 2
to the soul, 2
of my father, 2
to the quick, 2
as he is, 2
of the king, 2
queen gertrude polonius, 2
gertrude polonius ophelia, 2
polonius ophelia rosencrantz, 2
get from him, 2
but with a, 2
when we would, 2
in him a, 2
and as i, 2
and for your, 2
him to his, 2
i hear him, 2
hear him coming, 2
claudius and polonius, 2
not to be, 2
to die to, 2
die to sleep, 2
there s the, 2
the fair ophelia, 2
i did love, 2
i loved you, 2
thee to a, 2
to give them, 2
you make of, 2
have no more, 2
they are to, 2
woe is me, 2
of his grief, 2
tell us what, 2
but if you, 2
be round with, 2
round with him, 2
ii a hall, 2
a hall in, 2
hall in the, 2
for in the, 2
i would have, 2
his form and, 2
speak no more, 2
no more than, 2
some quantity of, 2
of the play, 2
too much of, 2
the play i, 2
guildenstern and others, 2
my lord they, 2
my dear hamlet, 2
no my lord, 2
i mean my, 2
you think i, 2
look you how, 2
and my father, 2
the hobby horse, 2
a king and, 2
dead body is, 2
in the end, 2
this my lord, 2
tell you what, 2
you what it, 2
what it means, 2
you are naught, 2
leave to do, 2
now you speak, 2
tis that we, 2
what to ourselves, 2
for tis a, 2
is there no, 2
i the world, 2
the image of, 2
you shall see, 2
you are keen, 2
him i the, 2
of jove himself, 2
o good horatio, 2
come some music, 2
re enter rosencrantz, 2
the queen your, 2
to the matter, 2
speak with you, 2
go to bed, 2
how can that, 2
can that be, 2
why look you, 2
look you now, 2
me you would, 2
play upon me, 2
top of my, 2
god bless you, 2
bless you sir, 2
would speak with, 2
methinks it is, 2
is like a, 2
like a weasel, 2
or like a, 2
like a whale, 2
i will come, 2
come to my, 2
it it is, 2
his mother s, 2
mother s closet, 2
to hear the, 2
i shall first, 2
white as snow, 2
and what s, 2
then i ll, 2
there is no, 2
i ll do, 2
ll do t, 2
and for that, 2
when he is, 2
for his passage, 2
tell him his, 2
your grace hath, 2
hamlet thou hast, 2
